booster,colsample_bytree,eta,eval_metric,improve10,improve15,improve5,lamda,learning_rate,max_depth,objective,scale_pos_weight,seed,value-mean10,value-mean15,value-mean5
gbtree,0.7,0.001,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.2,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.001,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.4,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.001,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.6,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.001,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.8,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.001,auc,-1.18509718119,-1.52293874106,-0.319709049251,1,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.001,auc,-0.393286956678,0.167581176052,0.295092719763,0.2,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.001,auc,-0.393286956678,0.167581176052,0.295092719763,0.4,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.001,auc,-0.393286956678,0.167581176052,0.295092719763,0.6,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.001,auc,-0.393286956678,0.167581176052,0.295092719763,0.8,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.001,auc,-0.393286956678,0.167581176052,0.295092719763,1,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.01,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.2,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.01,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.4,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.01,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.6,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.01,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.8,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.01,auc,-1.18509718119,-1.52293874106,-0.319709049251,1,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.01,auc,-0.393286956678,0.167581176052,0.295092719763,0.2,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.01,auc,-0.393286956678,0.167581176052,0.295092719763,0.4,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.01,auc,-0.393286956678,0.167581176052,0.295092719763,0.6,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.01,auc,-0.393286956678,0.167581176052,0.295092719763,0.8,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.01,auc,-0.393286956678,0.167581176052,0.295092719763,1,0.1,6,binary:logistic,18.92543859649123,1,8.559,8.03466666667,10.79
gbtree,0.7,0.1,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.2,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
gbtree,0.7,0.1,auc,-1.18509718119,-1.52293874106,-0.319709049251,0.4,0.05,6,binary:logistic,18.92543859649123,1,7.167,6.59133333333,8.846
